,A,B
187,837750,634132
188,819893,646919
189,803133,663437
190,893841,718071
191,869331,617053
192,847430,623157
193,810547,597362
194,887955,652980
195,856277,650393
196,945668,662295
197,910884,606259
198,823954,581126
199,780635,613287
200,827314,657722
201,874290,682154
202,801009,632553
203,758093,635151
204,834477,615434
205,778438,668842
206,851028,601248
207,847403,680628
208,809226,590160
209,847930,639549
210,831541,638580
211,818121,643361
212,880168,671935
213,815109,645044
214,765957,654001
215,917544,625573
216,783878,625178
217,889986,596630
218,786184,663836
219,918549,595580
220,873325,661718
221,836224,622436
222,881118,595784
223,854502,597915
224,877342,656313
225,849343,644126
226,796153,621598
227,806313,641996
228,847671,637692
229,869123,660870
230,848927,645583
231,800992,654397
232,877837,634860
233,836202,600653
234,803719,688801
235,812864,648497
236,871038,632419
237,848660,637062
238,870340,608506
239,839706,604004
240,773106,587731
241,838636,638170
242,833424,637495
243,803393,632114
244,806771,696582
245,837422,684164
246,808230,615889
247,839817,657140
248,836065,643735
249,832197,640740
250,826449,642156
251,864411,657059
252,859075,596485
253,821763,646463
254,752624,684688
255,761780,639502
256,814196,638101
257,837052,638157
258,897135,678084
259,839617,656945
260,818902,650155
261,840603,639421
262,788208,596833
263,830238,629304
264,961248,667934
265,821180,615439
266,865014,601082
267,812456,609760
268,850548,639470
269,846404,608400
270,844405,710620
271,834271,681372
272,892746,564842
273,832917,653009
274,815156,643108
275,862657,628917
276,736311,562847
277,836640,689624
278,828915,641716
279,827016,648159
280,717529,589445
281,828640,621078
282,825800,639916
283,867216,629792
284,788063,640066
285,804909,659876
286,828224,658191
287,865774,654156
288,831381,628919
289,831414,641690
290,808631,648619
291,789304,619247
292,845460,690530
293,836208,638514
294,868895,604801
295,808291,631630
296,894943,635233
297,864186,639299
298,841314,705207
299,623573,252933
300,551501,163944
301,542414,323445
302,543918,261399
303,569298,222324
304,617516,155138
305,492219,176220
306,599902,344442
307,595923,301961
308,561290,237997
309,557171,300772
310,515461,280908
311,593235,212579
312,599791,239507
313,604067,254704
314,602097,293208
315,528532,271983
316,612097,204266
317,539684,261404
318,490360,160125
319,624439,284325
320,531766,227178
321,564691,253901
322,503485,225519
323,582912,368192
324,570399,302552
325,554412,259217
326,565947,253914
327,544626,261639
328,573542,228366
329,589472,240707
330,621853,235743
331,583727,240847
332,512999,279524
333,590219,205918
334,557291,235283
335,562609,261858
336,573223,256679
337,577033,261125
338,618685,246895
339,563806,242703
340,572797,264895
341,537958,171180
342,564558,251534
343,578430,260413
344,495770,314954
345,551139,304558
346,654533,234925
347,574254,246150
348,546542,224111
349,560338,216298
350,676848,196504
351,562287,210155
352,589172,296436
353,600350,211786
354,531053,241400
355,528764,238969
356,555973,241310
357,543279,201456
358,569679,227969
359,486998,186575
360,493599,274738
361,526990,234634
362,578346,257049
363,579387,214941
364,560117,210841
365,629472,276224
366,565964,245190
367,527110,273244
368,545421,190964
369,560155,172391
370,561378,248389
371,652718,214098
372,577674,230794
373,564281,248028
374,537828,245621
375,559807,248525
376,565040,265155
377,559796,237778
378,567364,284685
379,641053,302784
380,535370,222161
381,491034,294190
382,578789,227708
383,493843,284614
384,577923,208670
385,601465,233213
386,582776,232737
387,597019,238045
388,547708,261848
389,517797,231794
390,557925,315216
391,547397,204912
392,567028,240598
393,573124,241739
394,589736,306268
395,568682,234935
396,655580,263955
397,479452,292158
398,570515,250347
399,558916,242376
400,540452,314834
401,647754,219941
402,566630,249854
403,542945,138182
404,553960,261006
405,569226,276648
406,564946,247303
407,580188,355722
408,526519,171753
409,587283,244407
410,552210,250433
411,611343,258279
412,561853,312878
413,584508,218932
414,569499,258173
415,596805,276457
416,535593,143445
417,541643,260772
418,561550,249062
419,486280,298784
420,500130,217874
421,581491,248451
422,540572,254309
423,587211,212643
424,635603,258029
425,571211,249486
426,557092,237979
427,608511,224883
428,450541,268972
429,662544,262982
430,632742,204460
431,668355,167208
432,560443,253200
433,511472,197858
434,550115,259569
435,515463,270311
436,545539,195363
437,590449,254253
438,570787,246876
439,628713,228930
440,556580,229133
441,593632,266999
442,526382,240215
443,461510,212553
444,550952,216322
445,644419,196985
446,655814,200692
447,576564,168998
448,568570,254388
449,544728,151536
450,552544,258173
451,582510,232791
452,576350,289752
453,595209,248589
454,567870,284151
455,509669,309353
456,557305,245969
457,543639,242836
458,582187,245841
459,561214,239273
460,603094,315792
461,572393,258106
462,563936,163930
463,627272,253882
464,568248,211315
465,454114,291335
466,580020,185292
467,542857,258775
468,536737,275481
469,604791,256206
470,598596,199243
471,536423,156254
472,674097,262961
473,532044,241957
474,542553,222643
475,538243,205298
476,638901,233978
477,513685,127049
478,564828,185324
479,569149,273951
480,516087,229278
481,640460,282399
482,555527,227043
483,490765,271309
484,590339,151183
485,606457,178066
486,565975,287165
487,579551,211325
488,666462,219600
489,571916,294434
490,515494,253115
491,578997,247283
492,583084,269586
493,569736,251512
494,582050,243429
495,637274,267038
496,581758,242967
497,497313,297574
498,601745,230592
499,564593,278352
500,554695,250159
501,619204,203719
502,542873,281338
503,565013,238020
504,612309,248937
505,629933,177081
506,529425,255876
507,601962,303111
508,534272,194510
509,607232,201813
510,617934,213483
511,559992,244251
512,566515,247483
513,581817,347897
514,600735,234314
515,564311,254362
516,564132,239716
517,561656,242624
518,547473,262112
519,509737,204519
520,581769,191909
521,539373,231216
522,558473,234860
523,459924,277087
524,586499,197457
525,586128,243241
526,601985,250442
527,515475,251181
528,580859,243392
529,577874,256023
530,655529,240291
531,553779,243274
532,512392,202849
533,581035,264175
534,635019,226082
535,618233,210833
536,602261,221960
537,584584,235919
538,662479,223092
539,616652,307558
540,590474,215673
541,561055,225512
542,558663,250565
543,595705,316516
544,589593,241270
545,564408,247897
546,547925,232626
547,525888,230875
548,559240,240249
549,570386,231491
550,561177,247456
551,562305,275914
552,568231,233130
553,526274,305191
554,565846,244841
555,564036,255414
556,528877,273151
557,574944,277533
558,612380,276270
559,591223,320663
560,541329,196623
561,577613,280332
562,626744,239346
563,582718,244124
564,591505,233934
565,551312,227570
566,596206,224820
567,580534,268471
568,529314,224370
569,593206,175998
570,558061,254532
571,613366,287092
572,666984,183146
573,565702,254553
574,538772,246049
575,563724,246984
576,623575,196956
577,500592,285439
578,554520,251229
579,573815,259122
580,571703,282834
581,547746,209518
582,532663,169014
583,542244,254907
584,544774,237828
585,548284,298188
586,577315,265541
587,553770,259089
588,537145,284535
589,648244,253375
590,547437,230967
591,603002,245119
592,591147,239033
593,539114,314805
594,576311,252568
595,545197,218960
596,570793,227019
597,672748,143913
598,529094,226356
599,589826,179519
600,560758,250715
601,561914,247616
602,585992,242098
603,458197,305419
604,560666,209489
605,588776,218486
606,513517,230867
607,546341,266740
608,492744,288489
609,503990,233888
610,560394,218674
611,595703,240879
612,573398,194369
613,551504,163718
614,557729,241086
615,604381,310175
616,256910,767396
617,216249,729239
618,254116,748223
619,200897,724520
620,237599,737826
621,256884,794543
622,259353,675965
623,231574,696781
624,287834,722534
625,350191,686690
626,294847,707911
627,268507,721783
628,275228,692003
629,263839,718176
630,256048,743012
631,171374,680720
632,257301,742004
633,246193,781969
634,254996,718603
635,267628,718046
636,189013,722025
637,250283,811050
638,260461,743971
639,307642,768800
640,252078,721273
641,243511,729025
642,250998,756247
643,305422,749954
644,330971,748510
645,301925,681732
646,258289,747532
647,218066,652984
648,268582,750393
649,309307,676449
650,297392,837410
651,212684,744675
652,256364,741672
653,260803,732103
654,293378,730822
655,242768,720008
656,275500,729880
657,265037,605686
658,241019,755172
659,191241,788512
660,255886,727572
661,315723,708334
662,234688,718141
663,205548,820577
664,210438,672028
665,268715,766646
666,212151,726042
667,299298,716848
668,391506,745793
669,265410,761230
670,380778,761351
671,301915,642007
672,288109,751211
673,221650,852250
674,203861,729571
675,258191,719517
676,276360,722572
677,250153,705149
678,225440,777239
679,263300,708862
680,209638,779903
681,265687,728957
682,219148,671608
683,202313,803556
684,260246,744148
685,353731,733108
686,361882,664820
687,258354,712117
688,344580,833937
689,241344,757443
690,286128,759627
691,255492,699125
692,246953,837747
693,281449,742170
694,244978,741020
695,281490,707769
696,318257,689616
697,318320,785356
698,267996,752791
699,252398,735342
700,169076,696994
701,287127,769241
702,251773,743313
703,233154,798301
704,289447,672315
705,220236,696190
706,180062,750026
707,267928,721904
708,315014,732821
709,253678,781616
710,249508,730021
711,244713,684484
712,213416,797429
713,338623,688123
714,272708,722671
715,269722,735862
716,265363,749935
717,216910,714147
718,211879,702740
719,248415,734706
720,281381,747219
721,258514,721192
722,240833,764794
723,337516,771698
724,211181,778052
725,256102,748634
726,231591,738461
727,216906,697611
728,308119,778435
729,170563,774573
730,235525,775028
731,242177,789274
732,231394,726782
733,240546,720697
734,242380,733130
735,244510,760474
736,252049,733991
737,293158,788965
738,258335,744541
739,229258,799732
740,318118,765932
741,350824,788594
742,269541,749416
743,257595,742375
744,218404,783360
745,250965,638991
746,271398,705520
747,309785,740209
748,293513,791559
749,255953,744136
750,270778,747623
751,229246,721150
752,182210,807220
753,227734,741386
754,297763,743676
755,237737,729221
756,243262,738194
757,266271,753501
758,224714,721683
759,257321,743788
760,245789,757434
761,253157,736045
762,117874,815348
763,241709,731571
764,347019,718343
765,263035,735230
766,247280,711237
767,250639,741372
768,247362,733488
769,211789,695992
770,216664,677522
771,256255,743704
772,237847,719301
773,213313,735806
774,250379,742917
775,328400,743070
776,241569,734125
777,253541,764473
778,269306,729730
779,293363,724986
780,271138,732683
781,213034,772279
782,251371,786651
783,259065,724720
784,253804,742542
785,241020,760596
786,274995,777238
787,261209,724973
788,222553,726944
789,235047,746106
790,215758,708145
791,249252,741243
792,276918,720893
793,257503,742328
794,270830,751681
795,254122,745421
796,244908,754298
797,344753,787896
798,289445,688489
799,255205,736797
800,281555,721941
801,330430,771436
802,253457,777579
803,233496,791806
804,189684,691186
805,266413,660875
806,243837,733540
807,293505,803362
808,260303,727526
809,243491,728002
810,171693,721563
811,202123,744156
812,267285,728779
813,157834,661485
814,298443,770760
815,335331,818733
816,219609,734441
817,347306,800979
818,287334,659858
819,239976,833889
820,224951,722765
821,303315,750320
822,254814,747030
823,269950,727076
824,260040,745439
825,280473,744377
826,244639,720142
827,256956,740965
828,222004,807032
829,249361,748518
830,311037,756570
831,247122,715890
832,208069,655656
833,257453,742650
834,257325,742328
835,253267,789824
836,307281,762811
837,310424,718333
838,255453,741923
839,278992,757790
840,163957,733702
841,267246,751982
842,301060,715198
843,212056,766472
844,259723,732917
845,281780,775943
846,250805,726946
847,241156,739481
848,187608,800179
849,251058,735027
850,292595,740904
851,272074,712177
852,231261,786917
853,281000,740511
854,275058,713887
855,321560,731068
856,283915,688755
857,232840,738833
858,337958,798963
859,337046,820641
860,276394,761048
861,251347,670435
862,271702,753973
863,162224,685200
864,257677,719150
865,260318,711621
866,186264,695907
867,258174,755159
868,242709,757686
869,257254,743080
870,254983,731658
871,265273,716721
872,237449,785652
873,168596,748879
874,238834,696831
875,263109,743333
876,279676,809670
877,171747,777579
878,208417,813898
879,216564,723064
880,242195,689224
881,253534,741025
882,290176,781215
883,309158,699191
884,310940,711293
885,265486,702190
886,260419,741212
887,309129,744956
888,331240,717418
889,226170,738339
890,190767,706219
891,264262,737376
892,318816,748314
893,403394,777748
894,133737,819023
895,262522,730690
896,322898,707331
897,267179,761430
898,309043,753241
899,240893,734383
900,259566,727891
901,274552,718547
902,281005,717468
903,249734,767527
904,285301,711712
905,269005,750467
906,155283,721118
907,276869,731039
908,267975,745703
909,230459,815042
910,235700,742331
911,284567,716939
912,238601,769529
913,217170,824498
914,343775,713900
915,248775,743006
916,322803,656606
917,275390,840694
918,270819,619081
919,257784,742285
920,262725,748061
921,299229,739252
922,258131,750011
923,356321,721316
924,260631,685446
925,324355,769115
926,262464,745474
927,293755,724434
928,276333,734671
929,246185,768526
930,271427,759785
931,581344,385622
932,487508,410130
933,531520,470380
934,542398,407349
935,535553,401850
936,574340,386342
937,489563,423442
938,561517,424497
939,548471,363521
940,551619,407865
941,535637,416695
942,625861,446966
943,512721,297462
944,485787,451234
945,545177,449711
946,557549,430186
947,450504,489695
948,556721,406275
949,596886,406323
950,552270,452067
951,598696,426412
952,553121,424941
953,585213,507300
954,546923,447205
955,524864,524465
956,614862,474016
957,472136,522566
958,548741,424433
959,579708,389172
960,546195,435981
961,473518,431029
962,565818,441463
963,528421,449609
964,627970,406198
965,492513,376096
966,506194,412830
967,585921,420969
968,500095,384331
969,606741,433003
970,588823,391287
971,550666,358776
972,580102,421291
973,540689,483370
974,531336,427371
975,560929,488831
976,528839,404605
977,587670,454726
978,550071,432907
979,545251,423126
980,517722,389497
981,487466,404035
982,534359,410864
983,573525,363494
984,469597,469641
985,444203,433426
986,530126,482570
987,497364,497954
988,539380,452369
989,550207,427844
990,541436,463443
991,555566,402931
992,621264,430161
993,606519,426672
994,556325,411879
995,565035,407936
996,477578,283202
997,637561,412198
998,494817,482837
999,583750,440376
1000,619302,407243
1001,539353,414700
1002,491238,477838
1003,559644,393877
1004,551841,449208
1005,543185,449059
1006,557232,385801
1007,542717,485269
1008,628617,470383
1009,546433,433425
1010,656928,427142
1011,575225,471361
1012,540883,388547
1013,536902,487971
1014,669372,510729
1015,579813,431520
1016,638490,472369
1017,521733,288196
1018,474946,400305
1019,492108,415357
1020,647843,471024
1021,509727,402091
1022,557993,414488
1023,540956,440807
1024,539226,362911
1025,561535,422869
1026,532490,498388
1027,555321,411402
1028,502666,515079
1029,448308,360032
1030,605747,523813
1031,546080,441878
1032,594739,460997
1033,550615,457350
1034,552271,443264
1035,603175,429360
1036,551098,430693
1037,538746,399264
1038,500554,486108
1039,567652,460477
1040,670761,411963
1041,475690,420212
1042,555815,431564
1043,544504,435105
1044,559698,403757
1045,540029,431108
1046,550599,427512
1047,523731,404747
1048,552614,405698
1049,569819,389830
1050,437468,449261
1051,561322,473181
1052,547467,428249
1053,575789,337136
1054,552519,443109
1055,626243,434835
1056,549505,426514
1057,492240,539242
1058,560227,441363
1059,561030,439050
1060,498433,386501
1061,571566,348938
1062,531484,418681
1063,571064,421038
1064,511578,477934
1065,614768,433212
1066,575159,355952
1067,546882,491538
1068,658249,458851
1069,544860,415900
1070,563645,483100
1071,509113,433214
1072,599399,491415
1073,546863,446509
1074,527044,345316
1075,588577,360468
1076,559409,434055
1077,596283,479036
1078,499436,442899
1079,613978,292982
1080,456190,480028
1081,519097,500369
1082,595184,437458
1083,525481,408507
1084,510267,426949
1085,547148,435677
1086,513319,442815
1087,587173,449183
1088,549320,462207
1089,561429,432347
1090,491552,413594
1091,495264,466224
1092,579463,437384
1093,535151,429278
1094,538697,483333
1095,511036,447734
1096,594360,367824
1097,536563,392008
1098,560500,439267
1099,490871,511719
1100,528328,432436
1101,565144,416025
1102,525461,390918
1103,546371,432422
1104,538782,473082
1105,611712,395925
1106,484168,387405
1107,551526,457442
1108,489505,420072
1109,600738,463163
1110,589889,475739
1111,514225,536816
1112,578615,447581
1113,553817,402394
1114,461670,393552
1115,597719,429710
1116,505651,444909
1117,516034,402424
1118,546287,438245
1119,596539,376915
1120,554524,405520
1121,568522,412767
1122,589979,394610
1123,517816,430769
1124,566260,366100
1125,599365,369570
1126,437196,403295
1127,475065,455494
1128,562697,439867
1129,474287,414463
1130,517042,433320
1131,526568,428022
1132,539611,398504
1133,569808,385206
1134,539631,417731
1135,536056,433013
1136,550433,455366
1137,499380,378456
1138,556204,478664
1139,563430,421182
1140,545045,424260
1141,553634,447321
1142,535370,426421
1143,562541,424860
1144,613299,443903
1145,542295,448653
1146,514456,471271
1147,511573,356527
1148,511377,447729
1149,479144,530599
1150,537444,434463
1151,538071,476262
1152,561644,437142
1153,541794,440513
1154,574696,453097
1155,535114,427111
1156,568190,462684
1157,551346,418392
1158,570220,437495
1159,496768,392238
1160,603715,446602
1161,562761,451747
1162,591406,478984
1163,567287,446702
1164,503884,445231
1165,488808,432042
1166,590610,363074
1167,502713,461159
1168,537914,440074
1169,541156,470641
1170,545384,440024
1171,546724,436025
1172,553439,391197
1173,459376,417560
1174,543882,433069
1175,541775,426833
1176,587665,442146
1177,546781,435921
1178,649819,402618
1179,589886,417783
1180,555177,411731
1181,545799,434875
1182,537358,433500
1183,474403,396993
1184,614391,432060
1185,525885,408633
1186,540590,500716
1187,539864,439369
1188,517804,430120
1189,615324,459379
1190,604153,425325
1191,538145,455848
1192,540472,433652
1193,534566,419446
1194,489749,431702
1195,554344,507754
1196,536341,503208
1197,535188,533997
1198,544385,417589
1199,551464,437752
1200,539973,435022
1201,528431,548215
1202,562797,537421
1203,508043,396501
1204,544049,438662
1205,518755,455241
1206,543510,406511
1207,465992,427732
1208,497761,545339
1209,503305,541419
1210,546148,439859
1211,544848,453980
1212,530976,510400
1213,476036,495210
1214,511620,442106
1215,549513,426946
1216,546765,437681
1217,635196,471927
1218,490878,419594
1219,587238,408202
1220,518503,427052
1221,533823,438128
1222,550848,429297
1223,555081,374919
1224,589141,508464
1225,502737,414379
1226,506686,362499
1227,548132,443869
1228,491170,526141
1229,561259,555874
1230,537607,467331
1231,528819,423088
1232,552075,458191
1233,488078,386485
1234,477080,439728
1235,553909,418551
1236,639407,453570
1237,546029,436971
1238,575548,403760
1239,540998,509845
1240,497663,411215
1241,550114,413363
1242,536199,410166
1243,593205,453290
1244,605722,365131
1245,549184,442333
1246,523254,437878
1247,535947,444924
1248,539919,458163
1249,572815,413163
1250,510224,508938
1251,793712,253869
1252,824235,182393
1253,761457,262653
1254,794985,311076
1255,779569,150623
1256,810617,247422
1257,855489,211373
1258,849254,283112
1259,808784,242254
1260,791155,234010
1261,809656,243885
1262,808163,241795
1263,767028,226008
1264,823630,251398
1265,782172,210780
1266,854342,282373
1267,842713,245312
1268,856465,252408
1269,822556,275760
1270,853014,268530
1271,815736,251749
1272,796737,235100
1273,734201,239635
1274,792133,192616
1275,807811,241810
1276,808336,241768
1277,840286,227016
1278,782953,207370
1279,876441,180658
1280,862557,237489
1281,805067,246062
1282,747163,257973
1283,860400,304313
1284,838811,224435
1285,765391,238154
1286,909774,177017
1287,805219,243830
1288,871274,195811
1289,809012,229132
1290,841925,346604
1291,808083,222905
1292,812151,245409
1293,800231,232016
1294,796530,215743
1295,756887,266465
1296,735435,285672
1297,837660,211926
1298,913662,134920
1299,749321,200484
1300,794629,248741
1301,804405,244473
1302,802111,214682
1303,807493,241644
1304,757011,220524
1305,733684,216569
1306,813657,150704
1307,813354,273784
1308,832128,271389
1309,766957,220939
1310,811077,267030
1311,806127,239206
1312,802856,239801
1313,797349,262013
1314,789086,256113
1315,870334,259442
1316,786819,217596
1317,724693,300946
1318,802289,237945
1319,745416,198118
1320,805167,195569
1321,804876,233484
1322,811122,234227
1323,746115,174758
1324,808918,240673
1325,783113,249571
1326,779407,216656
1327,795765,205593
1328,808909,244561
1329,793721,273544
1330,838678,285533
1331,816382,241539
1332,762228,170036
1333,785728,198547
1334,831392,233281
1335,852354,351771
1336,754394,188386
1337,833141,244991
1338,813108,245893
1339,796846,214589
1340,809373,167754
1341,766881,246119
1342,857835,179609
1343,807956,241772
1344,725843,266365
1345,782383,273638
1346,867714,178320
1347,819132,336025
1348,805575,259205
1349,776270,342297
1350,743869,285111
1351,806545,242423
1352,803229,246622
1353,826119,273742
1354,883855,276227
1355,872437,199366
1356,806010,253932
1357,885710,207920
1358,729156,251369
1359,755167,224395
1360,864001,143590
1361,778476,260039
1362,837897,231719
1363,806903,239418
1364,806003,241718
1365,766740,264258
1366,833070,262092
1367,788701,281634
1368,806172,256966
1369,801115,280568
1370,808036,251643
1371,808170,221769
1372,817749,245231
1373,803097,213517
1374,848376,221062
1375,801185,253763
1376,802481,245334
1377,806501,245656
1378,811051,233169
1379,794362,240626
1380,798852,242607
1381,835229,231967
1382,825468,252748
1383,860649,139962
1384,867303,312028
1385,827932,235274
1386,812413,250382
1387,783222,233377
1388,788340,235197
1389,828604,274972
1390,791483,203193
1391,815370,332003
1392,813230,241626
1393,837268,233956
1394,893118,141854
1395,891639,222727
1396,736002,275702
1397,727552,253350
1398,843731,255903
1399,851033,199614
1400,882714,199375
1401,786460,286314
1402,888806,185365
1403,758373,213773
1404,779551,283553
1405,774858,229972
1406,776245,193642
1407,799209,214049
1408,838295,205014
1409,843948,359339
1410,744947,233071
1411,809004,239858
1412,838840,290309
1413,863682,210058
1414,746395,338046
1415,761539,305396
1416,807424,243082
1417,848407,200373
1418,809929,244528
1419,819272,251346
1420,808243,245479
1421,709033,331978
1422,832767,240604
1423,818255,220116
1424,830163,216187
1425,811557,257847
1426,836277,272560
1427,869697,240782
1428,786991,226933
1429,847635,233364
1430,777123,255131
1431,794074,280755
1432,798365,261221
1433,792217,324106
1434,877409,279311
1435,836796,283381
1436,810776,255655
1437,797840,227260
1438,805699,244328
1439,822415,228782
1440,854434,182273
1441,808472,241370
1442,854078,216536
1443,776876,210752
1444,801580,233127
1445,804306,232302
1446,798674,182094
1447,830283,261867
1448,850261,182406
1449,833903,222088
1450,828641,216117
1451,798745,216888
1452,817239,280192
1453,845443,205967
1454,801965,207790
1455,777245,282920
1456,785719,212629
1457,784197,196482
1458,875397,193513
1459,803909,143451
1460,760109,274439
1461,825397,225267
1462,827196,230652
1463,833920,273791
1464,802930,232758
1465,761357,240327
1466,787830,198769
1467,800784,277894
1468,795091,246317
1469,789940,178354
1470,849885,226831
1471,844844,217626
1472,810720,231120
1473,777952,227175
1474,796301,253068
1475,836069,211456
1476,725662,243972
1477,821905,288624
1478,750750,213230
1479,867380,208671
1480,812709,248657
1481,770611,157778
1482,839690,166947
1483,811742,247347
1484,738001,235064
1485,765796,239017
1486,818500,263988
1487,856957,152113
1488,817541,128934
1489,896024,206022
1490,771206,278182
1491,731083,257941
1492,761600,171345
1493,825399,236897
1494,793786,240794
1495,804054,228959
1496,815671,220031
1497,817824,255477
1498,792697,226642
1499,772549,239088
1500,819347,262933
1501,818044,241088
1502,804961,254767
1503,770604,331322
1504,862313,195068
1505,793309,245111
1506,764197,149751
1507,771625,309015
1508,762995,137958
1509,801340,166195
1510,802692,248240
1511,799085,326294
1512,839602,141486
1513,806206,242953
1514,848656,242083
1515,814206,234837
1516,795132,261826
1517,809504,231713
1518,726964,244068
1519,797907,236008
1520,835193,255264
1521,784965,230062
1522,783617,262452
1523,874769,237445
1524,790023,162623
1525,869977,217315
1526,816583,285646
1527,819014,178971
1528,806564,228611
1529,776929,175876
1530,820114,241824
1531,809270,235480
1532,850080,301694
1533,775576,214729
1534,762220,201489
1535,787634,208637
1536,837705,183892
1537,743486,210190
1538,833976,214186
1539,750510,324130
1540,812921,256262
1541,874372,191594
1542,868167,228347
1543,815605,239519
1544,836059,221012
1545,856835,289341
1546,823141,203497
1547,806678,241501
1548,759976,283246
1549,803022,245592
1550,765715,281157
1551,823326,281490
1552,808523,242120
1553,808833,241692
1554,810615,244983
1555,834180,195070
1556,804550,222538
1557,809651,243502
1558,833713,231141
1559,760374,144848
1560,782321,250893
1561,816153,243422
1562,817075,249226
1563,831422,194245
1564,849016,229923
1565,819357,236228
1566,830726,223022
1567,809043,241386
1568,841856,249538
1569,860654,303649
1570,822417,228001
1571,762257,204672
1572,447100,578447
1573,435369,600655
1574,450681,614019
1575,446408,617816
1576,458825,608028
1577,437246,626679
1578,454357,627922
1579,472602,547751
1580,446070,660584
1581,436173,596885
1582,427674,649409
1583,429283,696036
1584,443685,556528
1585,459542,604591
1586,432232,612326
1587,441101,632597
1588,434308,622475
1589,451267,521677
1590,440009,607204
1591,452407,650191
1592,439403,647691
1593,443034,608016
1594,444433,600811
1595,454532,645000
1596,424823,632310
1597,440107,607385
1598,451719,596564
1599,443376,615484
1600,445431,608977
1601,444904,608335
1602,440573,587754
1603,420214,670760
1604,435259,600545
1605,452350,614438
1606,462959,604618
1607,437911,580427
1608,438421,597731
1609,448067,624888
1610,444800,611906
1611,437290,592669
1612,435894,584536
1613,407185,725388
1614,452789,601477
1615,444481,611260
1616,431354,637354
1617,430530,606861
1618,443303,611108
1619,445232,613051
1620,404544,731122
1621,429547,618065
1622,443000,608074
1623,435259,597598
1624,443703,660042
1625,427786,615834
1626,459700,534846
1627,452060,618631
1628,442216,648286
1629,462253,537194
1630,438157,612420
1631,427937,624218
1632,439556,639152
1633,451591,614155
1634,444028,612568
1635,447920,560215
1636,451407,613075
1637,441417,591083
1638,437912,608595
1639,442093,606830
1640,431324,619224
1641,452444,572715
1642,435969,661051
1643,443881,624977
1644,444942,615911
1645,442766,614279
1646,429488,612140
1647,432383,651805
1648,456268,606299
1649,446119,601343
1650,457620,595627
1651,455587,621993
1652,449467,594608
1653,484292,484470
1654,442884,634567
1655,454183,557625
1656,446602,609863
1657,447314,660847
1658,444661,611980
1659,449484,620119
1660,460069,601972
1661,443667,610462
1662,429709,610420
1663,432770,626516
1664,465949,562223
